FullName,NationalID,Phone,Role,JoinDate
Nyirambyeyi Marie,1199080012345678,0788123456,Group Admin,01/01/2026
SINDIHOKUBWABO Claude,1199080012345678,0788123457,Group Admin,01/01/2026
MUSOMPELA MUSONI,1199080012345678,0788123458,Group Admin,01/01/2026
UWAMARIYA ALINE,1199080012345678,0788123459,Group Admin,01/01/2026
TWIZERIMANA Claudine,1199080012345678,0788123460,Group Admin,01/01/2026
MURORUNYURWE Marie Desange,1199080012345678,0788123461,Group Admin,01/01/2026
UWAMARIYA Faustine,1199080012345678,0788123462,Group Admin,01/01/2026
NIRERE Epiphanie,1199080012345678,0788123463,Group Admin,01/01/2026
HAKIZIMANA Eraste,1199080012345678,0788123464,Group Admin,01/01/2026
HABIMANA Emmanuel,1199080012345678,0788123465,Group Admin,01/01/2026
NYEZO Leonard,1199080012345678,0788123466,Group Admin,01/01/2026
