FullName,Email,Phone,Role
Nyirambyeyi Marie,m.nyirambyeyi@vjn.org.rw,0788123456,GROUP_LEADER
SINDIHOKUBWABO Claude,c.sindihokubwabo@vjn.org.rw,0788123457,GROUP_LEADER
MUSOMPELA MUSONI,m.musompela@vjn.org.rw,0788123458,GROUP_LEADER
UWAMARIYA ALINE,a.uwamariya@vjn.org.rw,0788123459,GROUP_LEADER
TWIZERIMANA Claudine,c.twizerimana@vjn.org.rw,0788123460,GROUP_LEADER
MURORUNYURWE Marie Desange,d.murorunyurwe@vjn.org.rw,0788123461,GROUP_LEADER
UWAMARIYA Faustine,f.uwamariya@vjn.org.rw,0788123462,GROUP_LEADER
NIRERE Epiphanie,e.nirere@vjn.org.rw,0788123463,GROUP_LEADER
HAKIZIMANA Eraste,e.hakizimana@vjn.org.rw,0788123464,GROUP_LEADER
HABIMANA Emmanuel,e.habimana@vjn.org.rw,0788123465,GROUP_LEADER
NYEZO Leonard,l.nyezo@vjn.org.rw,0788123466,GROUP_LEADER
